Set Temperature;Actual Temperature;Voltage;Current
20;24.528;49.99999996453858;3.546141869037456e-08
20;24.528;99.99999996453857;3.546141869037456e-08
20;24.529;149.99999996453857;3.546141869037456e-08
20;24.529;199.99999996777734;3.222264410851494e-08
20;24.53;249.99999996777734;3.222264410851494e-08
20;24.53;299.9999999692219;3.0778085857718906e-08
20;24.53;349.9999999692219;3.0778085857718906e-08
20;24.53;399.9999999686802;3.131979653403505e-08
20;24.53;449.9999999686802;3.131979653403505e-08
20;24.531;499.99999996480614;3.51938460596557e-08
20;24.531;549.9999999648062;3.51938460596557e-08
20;24.532;599.9999999630169;3.6983131224133103e-08
20;24.532;649.9999999630169;3.6983131224133103e-08
20;24.533;699.9999999610634;3.8936569524139486e-08
20;24.533;749.9999999610634;3.8936569524139486e-08
20;24.533;799.9999999610995;3.890045618959448e-08
20;24.533;849.9999999610995;3.890045618959448e-08
20;24.533;899.9999999652773;3.4722720698709963e-08
20;24.533;949.9999999652773;3.4722720698709963e-08
20;24.534;999.9999999693106;3.0689442098719155e-08
20;24.534;1049.9999999693105;3.0689442098719155e-08
20;24.537;1099.999999967761;3.223906119842468e-08
20;24.57;49.999999977081636;2.2918364095403376e-08
20;24.57;99.99999997708164;2.2918364095403376e-08
20;24.57;149.99999989051472;1.0948529194365619e-07
20;24.57;199.99999989051472;1.0948529194365619e-07
20;24.572;249.9999999020843;9.791568089667635e-08
20;24.572;299.9999999020843;9.791568089667635e-08
20;24.572;349.9999998454265;1.5457348467862175e-07
20;24.572;399.9999998454265;1.5457348467862175e-07
20;24.573;449.9999998905147;1.0948529194365619e-07
20;24.573;499.9999998905147;1.0948529194365619e-07
20;24.573;549.9999998905147;1.0948529194365619e-07
20;24.573;599.9999998905147;1.0948529194365619e-07
20;24.574;649.9999998905147;1.0948529194365619e-07
20;24.574;699.9999998905147;1.0948529194365619e-07
20;24.574;749.9999998933063;1.0669370453797455e-07
20;24.576;799.9999998933063;1.0669370453797455e-07
20;24.576;849.9999998754748;1.2452514397409686e-07
20;24.576;899.9999998476823;1.5231778149882302e-07
20;24.576;949.9999998476823;1.5231778149882302e-07
20;24.576;999.9999998163166;1.8368336895946413e-07
20;24.576;1049.9999998163166;1.8368336895946413e-07
20;24.577;1099.9999998312833;1.687167952013624e-07
20;24.578;1149.9999998312833;1.687167952013624e-07
20;24.578;1199.9999998172386;1.8276129765126825e-07
20;24.577;1249.9999998107187;1.892813941140048e-07
20;24.577;1299.9999998107187;1.892813941140048e-07
20;24.579;1349.9999997966906;2.0330944039415044e-07
20;24.579;1399.9999997966906;2.0330944039415044e-07
20;24.579;1449.9999997702644;2.2973554791860806e-07
20;24.581;1499.999999758838;2.4116215513458883e-07
20;24.581;1549.999999758838;2.4116215513458883e-07
20;24.58;1599.9999996933407;3.066593592393474e-07
20;24.58;1649.9999996933407;3.066593592393474e-07
20;24.582;1699.9999997124564;2.8754365644090285e-07
20;24.582;1749.9999997124564;2.8754365644090285e-07
20;24.582;1799.9999996769088;3.230912852814072e-07
20;24.583;1849.9999995763578;4.236421204950602e-07
20;24.583;1899.9999995763578;4.236421204950602e-07
20;24.583;1949.9999994551108;5.448893034554203e-07
20;24.584;1999.9999994551108;5.448893034554203e-07
20;24.584;2049.9999992380544;7.619455004714837e-07
